,image name,object name,avg int channel 1,avg int channel 2,avg int channel 3
0,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #001 (GRSF1),1623.0,24956.5,3593.0
1,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #002 (GRSF1),1865.857142857143,32339.095238095237,2952.6190476190477
2,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #003 (GRSF1),1966.2142857142858,49031.142857142855,3154.7285714285713
3,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #004 (GRSF1),2057.714285714286,24822.285714285714,3659.1428571428573
4,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #005 (GRSF1),1860.0,23552.0,5558.0
5,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #007 (GRSF1),1084.875,26629.0625,22233.5625
6,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #008 (GRSF1),1370.0714285714287,29894.0,838.7857142857143
7,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #009 (GRSF1),2839.0,22921.0,3010.5
8,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #010 (GRSF1),1520.7735849056603,38864.77358490566,1928.4150943396226
9,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #011 (GRSF1),1320.6875,24971.75,2130.6875
10,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #012 (GRSF1),2034.2156862745098,39146.86274509804,8667.745098039215
11,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #013 (GRSF1),1238.837837837838,32717.567567567567,4758.513513513513
12,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #014 (GRSF1),1991.1764705882354,36945.794117647056,3510.470588235294
13,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #015 (GRSF1),2592.25,24298.25,7653.0
14,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #016 (GRSF1),2054.5,24622.0,4526.5
15,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #017 (GRSF1),1454.59375,30552.40625,11963.9375
16,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #018 (GRSF1),1685.7164179104477,48280.835820895525,5799.626865671642
17,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #019 (GRSF1),1832.5555555555557,30148.814814814814,7267.592592592592
18,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #020 (GRSF1),1603.125,28107.0,7368.5
19,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #021 (GRSF1),1607.25,25971.0,4715.5
20,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #022 (GRSF1),1491.8181818181818,34491.27272727273,4637.606060606061
21,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #023 (GRSF1),1999.3157894736842,39033.76315789474,4893.105263157895
22,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #024 (GRSF1),2344.3333333333335,29043.0,7506.333333333333
23,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #025 (GRSF1),2255.785714285714,47540.25714285715,3966.6428571428573
24,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #026 (GRSF1),509.0,24668.8,773.4
25,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #027 (GRSF1),1649.5714285714287,27798.714285714286,3885.285714285714
26,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #028 (GRSF1),905.09375,37540.40625,3593.78125
27,dsDNA-405_GRSF1-488_MT-tRNA-647-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #029 (GRSF1),2223.285714285714,40887.61224489796,6815.183673469388
